year,rgi_id,region_model,hydro_year,dmdt_model,dhdt,glacier_name,glacier_id,region_obs,begin_date,end_date,annual_balance,annual_balance_unc,ela,ela_unc,area,dmdt_obs,err_dmdt,dmdt_ci_upper,dmdt_ci_lower,residual
2000,RGI60-07.00493,,,,,MIDTRE LOVENBREEN,291.0,07,2000-05-05,2000-09-05,-0.028,,338.0,,5450000.0,-0.0001526,,,,
2001,RGI60-07.00493,07,2001.0,0.0012390236370265484,0.26090168952941895,MIDTRE LOVENBREEN,291.0,07,2001-04-24,2001-09-05,-0.331,,403.0,,5450000.0,-0.00180395,,,,0.0030429736370265483
2002,RGI60-07.00493,07,2002.0,-0.0027462532743811607,-0.5787283778190613,MIDTRE LOVENBREEN,291.0,07,2002-04-26,2002-09-03,-0.529,,437.0,,5450000.0,-0.00288305,,,,0.0001367967256188391
2003,RGI60-07.00493,07,2003.0,-0.0021523989271372557,-0.45383474230766296,MIDTRE LOVENBREEN,291.0,07,2003-04-22,2003-09-09,-0.783,,517.0,,5450000.0,-0.00426735,,,,0.002114951072862744
2004,RGI60-07.00493,07,2004.0,-0.004176707472652197,-0.8817124366760254,MIDTRE LOVENBREEN,291.0,07,2004-04-28,2004-09-10,-0.975,,571.0,,5450000.0,-0.00531375,,,,0.001137042527347803
2005,RGI60-07.00493,07,2005.0,-0.002927591325715184,-0.6185257434844971,MIDTRE LOVENBREEN,291.0,07,2005-05-04,2005-09-21,-0.739,,467.0,,5450000.0,-0.00402755,,,,0.0010999586742848162
2006,RGI60-07.00493,07,2006.0,-0.004319379571825266,-0.9137073755264282,MIDTRE LOVENBREEN,291.0,07,2006-04-29,2006-09-20,-0.486,,415.0,,5450000.0,-0.0026487,,,,-0.001670679571825266
2007,RGI60-07.00493,07,2007.0,-0.0016062217764556408,-0.339934766292572,MIDTRE LOVENBREEN,291.0,07,2007-04-16,2007-09-21,-0.251,,376.0,,5450000.0,-0.00136795,,,,-0.00023827177645564085
2008,RGI60-07.00493,07,2008.0,-0.003380183130502701,-0.7160971164703369,MIDTRE LOVENBREEN,291.0,07,2008-05-04,2008-09-19,-0.009,,331.0,,5450000.0,-4.904999999999999e-05,,,,-0.0033311331305027007
2009,RGI60-07.00493,07,2009.0,-0.0015591997653245926,-0.3304772973060608,MIDTRE LOVENBREEN,291.0,07,2009-05-03,2009-09-13,-0.14,,366.0,,5450000.0,-0.0007630000000000001,,,,-0.0007961997653245925
2010,RGI60-07.00493,07,2010.0,-0.0011915755458176136,-0.2526620626449585,MIDTRE LOVENBREEN,291.0,07,,,-0.2,,364.0,,5450000.0,-0.00109,,,,-0.00010157554581761356
2011,RGI60-07.00493,07,2011.0,-0.001997307874262333,-0.42378929257392883,MIDTRE LOVENBREEN,291.0,07,,,-0.92,,524.0,,5450000.0,-0.005014,,,,0.0030166921257376673
2012,RGI60-07.00493,07,2012.0,-0.0016297491965815425,-0.34598085284233093,MIDTRE LOVENBREEN,291.0,07,,,-0.26,,374.0,,5450000.0,-0.001417,,,,-0.00021274919658154242
2013,RGI60-07.00493,07,2013.0,0.0025514804292470217,0.5412496328353882,MIDTRE LOVENBREEN,291.0,07,,,-0.94,,546.0,,5450000.0,-0.005123,,,,0.007674480429247022
2014,RGI60-07.00493,07,2014.0,-0.008807776495814323,-1.873505711555481,MIDTRE LOVENBREEN,291.0,07,,,0.03,,321.0,,5450000.0,0.0001635,,,,-0.008971276495814324
2015,RGI60-07.00493,07,2015.0,0.0009604300721548498,0.20425604283809662,MIDTRE LOVENBREEN,291.0,07,,,-0.45,,409.0,,5450000.0,-0.0024525,,,,0.0034129300721548496
2016,RGI60-07.00493,07,2016.0,0.0008028815500438213,0.17072170972824097,MIDTRE LOVENBREEN,291.0,07,,,-1.2,,506.0,,5450000.0,-0.00654,,,,0.007342881550043821
2017,RGI60-07.00493,07,2017.0,-0.0008371896110475063,-0.17808443307876587,MIDTRE LOVENBREEN,291.0,07,,,-0.64,,455.0,,5450000.0,-0.003488,,,,0.002650810388952494
2018,RGI60-07.00493,07,2018.0,-0.003636658191680908,-0.7745267748832703,MIDTRE LOVENBREEN,291.0,07,,,-0.77,,506.0,,5450000.0,-0.0041965,,,,0.0005598418083190915
2019,RGI60-07.00493,07,2019.0,0.0037837864365428686,0.8050685524940491,MIDTRE LOVENBREEN,291.0,07,,,-0.6,,442.0,,5450000.0,-0.00327,,,,0.007053786436542869
2020,RGI60-07.00493,07,2020.0,-0.007298056036233902,-1.5564610958099365,MIDTRE LOVENBREEN,291.0,07,,,-1.574,,648.0,,5450000.0,-0.0085783,,,,0.0012802439637660985
2021,RGI60-07.00493,07,2021.0,-0.0028931850101798773,-0.6176416873931885,MIDTRE LOVENBREEN,291.0,07,,,-0.51,,434.0,,5450000.0,-0.0027795,,,,-0.00011368501017987743
2022,RGI60-07.00493,07,2022.0,-0.0058852313086390495,-1.2588741779327393,MIDTRE LOVENBREEN,291.0,07,,,-1.416,,609.0,,5450000.0,-0.0077172,,,,0.00183196869136095
2023,RGI60-07.00493,07,2023.0,-0.004752179142087698,-1.018140435218811,MIDTRE LOVENBREEN,291.0,07,,,-0.972,,485.0,,5450000.0,-0.0052974,,,,0.0005452208579123019
