rgi_id,region,hydro_year,calendar_year,dmdt,dhdt
RGI60-06.00234,06,2001,2001,-0.44421035051345825,-1.8653336763381958
RGI60-06.00234,06,2002,2002,-0.22801075875759125,-0.9576136469841003
RGI60-06.00234,06,2003,2003,-0.23077060282230377,-0.9693546891212463
RGI60-06.00234,06,2004,2004,-0.3172697424888611,-1.3330352306365967
RGI60-06.00234,06,2005,2005,-0.2661621570587158,-1.1185389757156372
RGI60-06.00234,06,2006,2006,-0.16589730978012085,-0.6972520351409912
RGI60-06.00234,06,2007,2007,-0.3084658980369568,-1.296772837638855
RGI60-06.00234,06,2008,2008,-0.13256517052650452,-0.5573517680168152
RGI60-06.00234,06,2009,2009,-0.4476538598537445,-1.8827316761016846
RGI60-06.00234,06,2010,2010,-0.06327946484088898,-0.2661570608615875
RGI60-06.00234,06,2011,2011,-0.600615918636322,-2.527296781539917
RGI60-06.00234,06,2012,2012,0.19352518022060394,0.8142141103744507
RGI60-06.00234,06,2013,2013,0.03932579606771469,0.1654394567012787
RGI60-06.00234,06,2014,2014,0.03188929334282875,0.1341712921857834
RGI60-06.00234,06,2015,2015,-0.3087133467197418,-1.2991223335266113
RGI60-06.00234,06,2016,2016,-0.06164368614554405,-0.25942161679267883
RGI60-06.00234,06,2017,2017,-0.44208383560180664,-1.8610892295837402
RGI60-06.00234,06,2018,2018,-0.4071914255619049,-1.7147095203399658
RGI60-06.00234,06,2019,2019,-0.16814126074314117,-0.7081711292266846
RGI60-06.00234,06,2020,2020,-0.5421850681304932,-2.284497022628784
RGI60-06.00234,06,2021,2021,-0.5926929116249084,-2.4984850883483887
RGI60-06.00234,06,2022,2022,-0.5844762921333313,-2.4649899005889893
RGI60-06.00234,06,2023,2023,-0.43406012654304504,-1.831285834312439
RGI60-06.00234,06,2024,2024,-0.408659428358078,-1.7247116565704346
RGI60-06.00234,06,2025,2025,-0.3649170398712158,-1.5405733585357666
RGI60-06.00234,06,2026,2026,-0.18362243473529816,-0.7753137946128845
RGI60-06.00234,06,2027,2027,-0.41692641377449036,-1.7610348463058472
RGI60-06.00234,06,2028,2028,-0.3470744490623474,-1.466417670249939
RGI60-06.00234,06,2029,2029,-0.3002282679080963,-1.2688201665878296
RGI60-06.00234,06,2030,2030,-0.5657528638839722,-2.39208984375
