G042097E43196N,RGI60-12.00001
G042710E43199N,RGI60-12.00002
G041842E43354N,RGI60-12.00003
G043809E42798N,RGI60-12.00683
G042519E43157N,RGI60-12.00006
G043516E42952N,RGI60-12.00007
G043243E43097N,RGI60-12.00008
G041451E43299N,RGI60-12.00009
G043762E42752N,RGI60-12.01107
G044400E42691N,RGI60-12.00011
G043508E42955N,RGI60-12.00012
G043242E43083N,RGI60-12.00013
G042432E43372N,RGI60-12.00014
G041551E43277N,RGI60-12.00015
G042835E43268N,RGI60-12.00016
G042341E43133N,RGI60-12.01048
G042922E43239N,RGI60-12.00957
G042879E43260N,RGI60-12.00019
G044532E42697N,RGI60-12.01025
G044135E42713N,RGI60-12.00021
G042456E43165N,RGI60-12.00477
G043590E42862N,RGI60-12.00025
G043521E42988N,RGI60-12.00024
G043464E42869N,RGI60-12.00026
G042214E43290N,RGI60-12.00027
G043469E42974N,RGI60-12.00028
G042112E43132N,RGI60-12.00029
G041859E43202N,RGI60-12.00030
G042713E43130N,RGI60-12.01072
G042620E43332N,RGI60-12.00032
G043016E43017N,RGI60-12.00130
G042522E43171N,RGI60-12.01041
G041618E43210N,RGI60-12.00036
G043459E42963N,RGI60-12.00037
G041594E43429N,RGI60-12.00038
G042221E43239N,RGI60-12.01139
G041639E43252N,RGI60-12.00040
G043406E42917N,RGI60-12.00041
G042410E43340N,RGI60-12.00042
G042031E43164N,RGI60-12.00043
G042542E43175N,RGI60-12.00044
G043995E42543N,RGI60-12.00045
G044129E42738N,RGI60-12.00728
G042652E43327N,RGI60-12.00047
G042607E43189N,RGI60-12.00445
G041599E43422N,RGI60-12.00049
G044000E42539N,RGI60-12.00050
G042975E43269N,RGI60-12.00051
G043415E42917N,RGI60-12.00052
G041668E43251N,RGI60-12.00053
G042214E43163N,RGI60-12.00054
G044447E42733N,RGI60-12.00359
G044494E42679N,RGI60-12.00056
G043248E43030N,RGI60-12.00057
G041816E43213N,RGI60-12.00058
G042663E43151N,RGI60-12.00530
G044045E42749N,RGI60-12.00060
G042537E43215N,RGI60-12.00061
G042623E43193N,RGI60-12.00062
G041693E43224N,RGI60-12.00063
G042676E43186N,RGI60-12.00064
G043156E43165N,RGI60-12.00065
G042960E43301N,RGI60-12.00066
G043262E42953N,RGI60-12.00067
G043284E42942N,RGI60-12.00068
G043498E42868N,RGI60-12.00740
G041967E43252N,RGI60-12.00070
G042124E43208N,RGI60-12.00071
G042274E43210N,RGI60-12.00072
G042956E43281N,RGI60-12.00435
G042878E43227N,RGI60-12.00075
G041675E43212N,RGI60-12.00076
G042016E43179N,RGI60-12.00077
G042234E43233N,RGI60-12.00909
G041157E43386N,RGI60-12.00079
G042429E43293N,RGI60-12.00080
G041167E43406N,RGI60-12.00081
G042113E43279N,RGI60-12.00082
G041493E43296N,RGI60-12.00083
G041861E43360N,RGI60-12.00084
G041922E43315N,RGI60-12.00085
G041594E43323N,RGI60-12.00086
G044315E42752N,RGI60-12.00087
G042758E42916N,RGI60-12.00088
G042999E43050N,RGI60-12.00293
G042100E43207N,RGI60-12.00090
G043272E42918N,RGI60-12.00091
G041203E43291N,RGI60-12.00092
G041865E42988N,RGI60-12.00093
G042948E43169N,RGI60-12.00095
G043551E42942N,RGI60-12.00097
G042459E43216N,RGI60-12.00406
G042562E43340N,RGI60-12.00099
G044537E42706N,RGI60-12.00191
G042750E42905N,RGI60-12.00102
G042813E43111N,RGI60-12.00305
G043798E42806N,RGI60-12.00105
G042892E43141N,RGI60-12.00106
G042487E42935N,RGI60-12.00862
G043196E43090N,RGI60-12.00108
G041904E43293N,RGI60-12.00581
G043765E42614N,RGI60-12.00110
G041480E43288N,RGI60-12.00111
G042528E43298N,RGI60-12.00112
G042399E43194N,RGI60-12.00113
G042808E43097N,RGI60-12.00114
G041561E43266N,RGI60-12.00115
G043393E43016N,RGI60-12.00116
G043763E42603N,RGI60-12.00117
G041954E43199N,RGI60-12.00118
G043051E43105N,RGI60-12.01066
G041794E43237N,RGI60-12.00120
G042016E43165N,RGI60-12.00121
G042777E43222N,RGI60-12.01224
G044313E42735N,RGI60-12.01056
G042541E43289N,RGI60-12.00124
G042766E43192N,RGI60-12.01132
G043824E42596N,RGI60-12.00127
G041763E43216N,RGI60-12.00128
G041933E43227N,RGI60-12.00129
G044385E42682N,RGI60-12.00132
G043100E43030N,RGI60-12.01252
G042536E43184N,RGI60-12.00134
G043210E43112N,RGI60-12.00135
G043477E42845N,RGI60-12.00136
G042928E43272N,RGI60-12.00137
G044508E42671N,RGI60-12.00138
G042085E43116N,RGI60-12.00139
G042890E43202N,RGI60-12.00140
G042788E43204N,RGI60-12.00529
G044322E42554N,RGI60-12.00142
G043249E42958N,RGI60-12.00153
G043523E43014N,RGI60-12.00144
G041419E43344N,RGI60-12.00145
G041864E43222N,RGI60-12.00146
G043565E42952N,RGI60-12.00729
G042352E43246N,RGI60-12.00148
G044115E42735N,RGI60-12.00638
G042477E43195N,RGI60-12.00150
G043141E43156N,RGI60-12.00151
G043081E43122N,RGI60-12.01170
G041410E43309N,RGI60-12.00154
G043440E42899N,RGI60-12.00155
G043242E43022N,RGI60-12.00156
G043207E42924N,RGI60-12.00157
G041869E43231N,RGI60-12.00158
G042201E43166N,RGI60-12.00159
G043811E42728N,RGI60-12.00160
G042488E43308N,RGI60-12.00821
G041208E43280N,RGI60-12.00162
G041229E43392N,RGI60-12.00544
G044477E42719N,RGI60-12.00164
G044483E42698N,RGI60-12.00165
G042466E42951N,RGI60-12.00166
G042195E43161N,RGI60-12.00167
G042449E43302N,RGI60-12.00168
G041829E43365N,RGI60-12.00169
G042950E43105N,RGI60-12.00170
G042161E43239N,RGI60-12.00171
G041674E43218N,RGI60-12.00172
G043759E42834N,RGI60-12.00173
G042974E43160N,RGI60-12.00174
G044443E42706N,RGI60-12.00175
G043936E42548N,RGI60-12.00176
G043105E43123N,RGI60-12.00178
G041683E43194N,RGI60-12.00179
G043772E42828N,RGI60-12.00180
G041960E43213N,RGI60-12.00181
G043420E42875N,RGI60-12.00182
G044151E42739N,RGI60-12.00276
G041572E43240N,RGI60-12.00184
G042752E43244N,RGI60-12.00185
G042457E43154N,RGI60-12.00186
G043785E42817N,RGI60-12.00187
G042399E43373N,RGI60-12.00188
G041997E43219N,RGI60-12.00492
G043092E43100N,RGI60-12.00190
G043231E43094N,RGI60-12.00192
G041523E43281N,RGI60-12.00193
G044269E42613N,RGI60-12.00195
G042903E43083N,RGI60-12.00196
G042402E43386N,RGI60-12.00198
G042630E42911N,RGI60-12.01273
G044330E42751N,RGI60-12.00200
G042673E43114N,RGI60-12.00201
G043300E42903N,RGI60-12.00202
G043754E42622N,RGI60-12.00203
G042131E43289N,RGI60-12.00204
G041907E42975N,RGI60-12.00205
G044138E42718N,RGI60-12.00206
G042861E43199N,RGI60-12.00208
G043577E42870N,RGI60-12.00209
G041523E43387N,RGI60-12.00210
G042700E43108N,RGI60-12.00211
G043189E43106N,RGI60-12.00212
G042405E43314N,RGI60-12.00412
G041549E43379N,RGI60-12.00214
G042425E43229N,RGI60-12.00216
G044317E42739N,RGI60-12.00217
G042992E43021N,RGI60-12.00218
G043117E43064N,RGI60-12.00880
G043194E43108N,RGI60-12.00221
G042051E43198N,RGI60-12.00222
G041099E43410N,RGI60-12.00223
G042590E42905N,RGI60-12.00224
G043969E42549N,RGI60-12.00225
G044162E42753N,RGI60-12.01057
G041406E43354N,RGI60-12.00228
G042337E43141N,RGI60-12.00229
G041652E43255N,RGI60-12.00231
G042299E43213N,RGI60-12.00232
G042658E42910N,RGI60-12.00614
G042908E43210N,RGI60-12.00234
G041404E43342N,RGI60-12.00235
G043542E42951N,RGI60-12.00237
G043717E42797N,RGI60-12.00238
G041522E43269N,RGI60-12.00239
G042654E43333N,RGI60-12.00240
G042030E43196N,RGI60-12.00241
G042694E42895N,RGI60-12.00627
G042967E43092N,RGI60-12.00243
G041966E43270N,RGI60-12.00245
G042881E43181N,RGI60-12.00246
G041987E43123N,RGI60-12.00247
G044295E42698N,RGI60-12.00250
G044695E42677N,RGI60-12.00251
G042351E43270N,RGI60-12.00252
G042626E43198N,RGI60-12.00253
G042663E43320N,RGI60-12.00254
G043106E42983N,RGI60-12.00255
G043428E42969N,RGI60-12.00256
G042159E43247N,RGI60-12.00257
G044186E42741N,RGI60-12.00258
G042693E43189N,RGI60-12.00585
G042901E43169N,RGI60-12.00260
G042565E43214N,RGI60-12.00261
G043142E43076N,RGI60-12.00262
G043414E42984N,RGI60-12.00263
G043669E42842N,RGI60-12.00264
G041811E43167N,RGI60-12.00265
G044414E42749N,RGI60-12.00266
G042877E43234N,RGI60-12.00267
G042705E43191N,RGI60-12.01301
G044297E42751N,RGI60-12.00269
G042726E43245N,RGI60-12.00830
G043394E42980N,RGI60-12.00271
G043524E42863N,RGI60-12.00272
G041871E42991N,RGI60-12.00273
G042291E43210N,RGI60-12.00274
G042386E43249N,RGI60-12.01007
G042479E42941N,RGI60-12.01006
G042916E43093N,RGI60-12.00278
G041886E43249N,RGI60-12.00280
G043193E43068N,RGI60-12.00281
G041731E43261N,RGI60-12.00282
G042550E42943N,RGI60-12.00283
G042707E43195N,RGI60-12.00284
G043662E42816N,RGI60-12.00285
G041363E43375N,RGI60-12.00286
G041825E43164N,RGI60-12.00288
G042811E43183N,RGI60-12.01172
G042456E43231N,RGI60-12.00290
G044317E42757N,RGI60-12.00291
G042522E43108N,RGI60-12.00292
G041600E43239N,RGI60-12.00294
G042806E43129N,RGI60-12.00295
G043340E42906N,RGI60-12.00296
G043124E43045N,RGI60-12.00297
G043655E42811N,RGI60-12.00298
G041825E43175N,RGI60-12.00299
G042410E43268N,RGI60-12.00300
G042084E43196N,RGI60-12.00301
G042264E43242N,RGI60-12.00302
G042844E43258N,RGI60-12.00600
G043923E42551N,RGI60-12.00304
G042903E43242N,RGI60-12.00306
G042123E43294N,RGI60-12.00308
G043470E42995N,RGI60-12.00309
G042215E43243N,RGI60-12.00310
G044133E42743N,RGI60-12.00311
G042480E43118N,RGI60-12.00312
G042120E43285N,RGI60-12.00313
G042749E43194N,RGI60-12.00691
G042920E43145N,RGI60-12.00315
G042977E43013N,RGI60-12.00316
G044387E42700N,RGI60-12.00317
