rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-06.00001,2000-01-01_2001-01-01,4903000.0,-1.2961,3.1815,-6355011.0,15601002.0,-0.005402,0.013266,-1.1017,2.7061,1.0,1.0,0.37,0.37,6
RGI60-06.00001,2000-01-01_2002-01-01,4903000.0,-1.229,1.5024,-6025953.0,7370062.0,-0.005122,0.006275,-1.0447,1.2805,1.0,1.0,0.78,0.77,6
RGI60-06.00001,2000-01-01_2004-01-01,4903000.0,-1.1299,0.7506,-5539663.0,3686989.0,-0.004709,0.003152,-0.9604,0.6439,1.0,1.0,4.2,2.77,6
RGI60-06.00001,2000-01-01_2005-01-01,4903000.0,-1.1065,0.599,-5425168.0,2944822.0,-0.004611,0.002524,-0.9405,0.5162,1.0,1.0,4.2,2.78,6
RGI60-06.00001,2000-01-01_2010-01-01,4903000.0,-0.8616,0.305,-4224402.0,1504711.0,-0.003591,0.001304,-0.7324,0.2675,1.0,1.0,6.45,4.95,6
RGI60-06.00001,2000-01-01_2020-01-01,4903000.0,-0.3163,0.155,-1550738.0,762279.0,-0.001318,0.000655,-0.2688,0.1339,1.0,1.0,25.38,13.97,6
RGI60-06.00001,2001-01-01_2002-01-01,4903000.0,-1.1619,2.8607,-5696894.0,14027744.0,-0.004842,0.011928,-0.9876,2.4332,1.0,1.0,0.42,0.41,6
RGI60-06.00001,2002-01-01_2003-01-01,4903000.0,-1.0205,2.7245,-5003569.0,13359731.0,-0.004253,0.01136,-0.8674,2.3172,1.0,1.0,2.39,1.0,6
RGI60-06.00001,2002-01-01_2004-01-01,4903000.0,-1.0307,1.3301,-5053374.0,6524734.0,-0.004295,0.005554,-0.8761,1.1334,1.0,1.0,3.42,2.0,6
RGI60-06.00001,2003-01-01_2004-01-01,4903000.0,-1.0408,2.7221,-5103179.0,13348048.0,-0.004338,0.01135,-0.8847,2.3152,1.0,1.0,1.03,1.0,6
RGI60-06.00001,2004-01-01_2005-01-01,4903000.0,-1.0131,2.6493,-4967186.0,12990941.0,-0.004222,0.011046,-0.8611,2.2532,1.0,1.0,0.0,0.0,6
RGI60-06.00001,2004-01-01_2006-01-01,4903000.0,-0.9858,1.3686,-4833551.0,6712901.0,-0.004109,0.005713,-0.838,1.1657,1.0,1.0,1.0,1.0,6
RGI60-06.00001,2004-01-01_2008-01-01,4903000.0,-0.907,0.6693,-4446789.0,3286448.0,-0.00378,0.002806,-0.7709,0.5732,1.0,1.0,2.13,2.05,6
RGI60-06.00001,2005-01-01_2006-01-01,4903000.0,-0.9586,2.7289,-4699916.0,13381006.0,-0.003995,0.011377,-0.8148,2.3207,1.0,1.0,1.0,1.0,6
RGI60-06.00001,2005-01-01_2010-01-01,4903000.0,-0.6167,0.5405,-3023636.0,2653010.0,-0.00257,0.002262,-0.5242,0.4619,1.0,1.0,2.25,2.17,6
RGI60-06.00001,2006-01-01_2007-01-01,4903000.0,-1.0526,2.7926,-5160795.0,13693563.0,-0.004387,0.011644,-0.8947,2.3751,1.0,1.0,0.08,0.07,6
RGI60-06.00001,2006-01-01_2008-01-01,4903000.0,-0.8281,1.378,-4060026.0,6758480.0,-0.003451,0.00575,-0.7039,1.1731,1.0,1.0,1.12,1.05,6
RGI60-06.00001,2007-01-01_2008-01-01,4903000.0,-0.6036,2.7339,-2959257.0,13405001.0,-0.002515,0.011396,-0.513,2.3243,1.0,1.0,1.04,0.97,6
RGI60-06.00001,2008-01-01_2009-01-01,4903000.0,-0.1667,3.0085,-817247.0,14750550.0,-0.000695,0.012538,-0.1417,2.5572,1.0,1.0,0.12,0.12,6
RGI60-06.00001,2008-01-01_2010-01-01,4903000.0,-0.2344,1.3651,-1149106.0,6693235.0,-0.000977,0.00569,-0.1992,1.1605,1.0,1.0,0.13,0.13,6
RGI60-06.00001,2008-01-01_2012-01-01,4903000.0,-0.1921,0.6655,-941676.0,3263368.0,-0.0008,0.002774,-0.1633,0.5659,1.0,1.0,3.24,2.13,6
