year,region,observation_value,ci_lower,ci_upper,dhdt,dhdt_ci_lower,dhdt_ci_upper,region_model,model,scenario,hydro_year,calendar_year,dmdt_model,dhdt_model,model_value,dhdt_5yr_avg_calendar,residual,rmse,residual_percentage,model_within_obs_CI
2005.0,06,-11.279093,-12.42284761493174,-10.135338385068259,-0.5673052816901409,-0.635098362110835,-0.49951220126944684,06,ACCESS-CM2,ssp126,2005,2005,-13.139204,-0.7544355,-10.374173,-0.5496605,-0.9049198356323238,3.326125158691509,8.022984078882264,True
2010.0,06,-10.726059000000001,-11.661436261502944,-9.790681738497058,-0.42796478873239435,-0.4908465976311738,-0.36508297983361493,06,ACCESS-CM2,ssp126,2010,2010,-5.390253,-0.026632736,-7.669713,-0.3365703,-3.056345979675294,3.326125158691509,28.494584820718345,False
2015.0,06,-8.693655,-9.619125585912977,-7.768184414087023,-0.3157110915492958,-0.3794365717348926,-0.25198561136369896,06,ACCESS-CM2,ssp126,2015,2015,-11.3834,-0.7366029,-7.114133,-0.2987935,-1.579522118835449,3.326125158691509,18.16867725755679,False
2020.0,06,-6.744853,-7.6715504919561255,-5.8181555080438745,-0.2962029929577465,-0.3628664616403724,-0.2295395242751206,06,ACCESS-CM2,ssp126,2020,2020,-22.11982,-0.96091145,-12.366011,-0.48924464,5.621157665893555,3.326125158691509,-83.33995812649371,False
2025.0,06,,,,,,,06,ACCESS-CM2,ssp126,2025,2025,-13.6044855,-0.74239975,-19.908554,-1.2727107,,,,
2030.0,06,,,,,,,06,ACCESS-CM2,ssp126,2030,2030,-23.595076,-1.3518648,-13.67539,-0.56294465,,,,
2035.0,06,,,,,,,06,ACCESS-CM2,ssp126,2035,2035,-11.486107,-0.44729048,-18.261635,-1.2431338,,,,
2040.0,06,,,,,,,06,ACCESS-CM2,ssp126,2040,2040,-32.849487,-2.5339973,-18.544676,-1.1923453,,,,
2045.0,06,,,,,,,06,ACCESS-CM2,ssp126,2045,2045,-24.03196,-1.8268011,-25.317734,-1.9037259,,,,
2050.0,06,,,,,,,06,ACCESS-CM2,ssp126,2050,2050,-35.13967,-2.231719,-33.623146,-2.5589862,,,,
2055.0,06,,,,,,,06,ACCESS-CM2,ssp126,2055,2055,-21.511282,-0.94631016,-30.434967,-1.7813017,,,,
2060.0,06,,,,,,,06,ACCESS-CM2,ssp126,2060,2060,-25.557087,-1.200374,-23.908733,-1.0985422,,,,
2065.0,06,,,,,,,06,ACCESS-CM2,ssp126,2065,2065,-26.478447,-0.99934155,-25.489065,-0.9919952,,,,
2070.0,06,,,,,,,06,ACCESS-CM2,ssp126,2070,2070,-16.790348,-0.4273978,-20.826475,-0.6352508,,,,
2075.0,06,,,,,,,06,ACCESS-CM2,ssp126,2075,2075,-14.230615,-0.20640124,-20.106865,-0.5401921,,,,
2080.0,06,,,,,,,06,ACCESS-CM2,ssp126,2080,2080,-13.9361,-0.5656359,-15.048978,-0.5253599,,,,
2085.0,06,,,,,,,06,ACCESS-CM2,ssp126,2085,2085,-20.137657,-0.64488876,-16.013239,-0.46609277,,,,
2090.0,06,,,,,,,06,ACCESS-CM2,ssp126,2090,2090,-16.644258,-0.5260443,-18.115442,-0.59459823,,,,
2095.0,06,,,,,,,06,ACCESS-CM2,ssp126,2095,2095,-28.096184,-1.0377756,-20.780554,-0.6716704,,,,
2100.0,06,,,,,,,06,ACCESS-CM2,ssp126,2100,2100,-12.190201,-0.24043411,-16.774626,-0.45815477,,,,
